Частота,Канал A
(kГц),(В)

0.00000000,0.21914830
0.02384186,0.09196298
0.04768372,0.01409556
0.07152557,0.00055217
0.09536743,0.00035315
0.11920929,0.00042343
0.14305115,0.00043689
0.16689301,0.00027628
0.19073486,0.00019461
0.21457672,0.00027475
0.23841858,0.00024169
0.26226044,0.00039389
0.28610229,0.00115936
0.30994415,0.00250426
0.33378601,0.00300321
0.35762787,0.00240845
0.38146973,0.00116340
0.40531158,0.00064170
0.42915344,0.00045899
0.45299530,0.00033296
0.47683716,0.00042369
0.50067902,0.00050586
0.52452087,0.00047590
0.54836273,0.00053374
0.57220459,0.00061996
0.59604645,0.00071692
0.61988831,0.00130842
0.64373016,0.00310596
0.66757202,0.00373436
0.69141388,0.00264386
0.71525574,0.00126994
0.73909760,0.00065069
0.76293945,0.00054212
0.78678131,0.00038103
0.81062317,0.00036227
0.83446503,0.00044530
0.85830688,0.00055442
0.88214874,0.00059569
0.90599060,0.00061498
0.92983246,0.00091531
0.95367432,0.01435164
0.97751617,0.08618421
1.00135803,0.13675430
1.02519989,0.07632305
1.04904175,0.01057545
1.07288361,0.00049993
1.09672546,0.00036681
1.12056732,0.00040908
1.14440918,0.00031883
1.16825104,0.00016046
1.19209290,0.00035184
1.21593475,0.00078943
1.23977661,0.00088494
1.26361847,0.00083108
1.28746033,0.00128314
1.31130219,0.00234279
1.33514404,0.00195618
1.35898590,0.00122411
1.38282776,0.00091766
1.40666962,0.00075113
1.43051147,0.00056168
1.45435333,0.00046699
1.47819519,0.00046014
1.50203705,0.00033467
1.52587891,0.00013558
1.54972076,0.00022613
1.57356262,0.00046058
1.59740448,0.00073433
1.62124634,0.00165991
1.64508820,0.00393343
1.66893005,0.00410533
1.69277191,0.00211579
1.71661377,0.00090499
1.74045563,0.00042315
1.76429749,0.00045622
1.78813934,0.00037386
1.81198120,0.00035542
1.83582306,0.00041042
1.85966492,0.00039653
1.88350677,0.00035171
1.90734863,0.00041752
1.93119049,0.00067333
1.95503235,0.01623564
1.97887421,0.08685603
2.00271606,0.12955060
2.02655792,0.06802863
2.05039978,0.00859823
2.07424164,0.00039458
2.09808350,0.00050127
2.12192535,0.00049312
2.14576721,0.00041784
2.16960907,0.00037539
2.19345093,0.00049584
2.21729279,0.00057578
2.24113464,0.00048912
2.26497650,0.00072912
2.28881836,0.00135086
2.31266022,0.00198853
2.33650208,0.00100471
2.36034393,0.00063587
2.38418579,0.00110412
2.40802765,0.00075773
2.43186951,0.00043358
2.45571136,0.00045117
2.47955322,0.00050041
2.50339508,0.00036837
2.52723694,0.00038265
2.55107880,0.00055026
2.57492065,0.00053572
2.59876251,0.00067982
2.62260437,0.00198249
2.64644623,0.00455049
2.67028809,0.00428456
2.69412994,0.00167037
2.71797180,0.00087602
2.74181366,0.00061833
2.76565552,0.00053311
2.78949738,0.00037226
2.81333923,0.00031694
2.83718109,0.00034481
2.86102295,0.00039467
2.88486481,0.00038047
2.90870667,0.00059923
2.93254852,0.00071160
2.95639038,0.01725771
2.98023224,0.08400850
3.00407410,0.11788540
3.02791595,0.05801546
3.05175781,0.00648664
3.07559967,0.00040349
3.09944153,0.00042214
3.12328339,0.00023747
3.14712524,0.00023988
3.17096710,0.00030953
3.19480896,0.00038941
3.21865082,0.00029000
3.24249268,0.00025953
3.26633453,0.00046241
3.29017639,0.00102926
3.31401825,0.00143471
3.33786011,0.00143472
3.36170197,0.00128630
3.38554382,0.00092228
3.40938568,0.00071250
3.43322754,0.00060115
3.45706940,0.00064265
3.48091125,0.00066988
3.50475311,0.00045434
3.52859497,0.00036549
3.55243683,0.00052213
3.57627869,0.00055949
3.60012054,0.00067003
3.62396240,0.00179298
3.64780426,0.00418837
3.67164612,0.00361368
3.69548798,0.00088688
3.71932983,0.00090633
3.74317169,0.00064246
3.76701355,0.00043459
3.79085541,0.00045546
3.81469727,0.00053282
3.83853912,0.00028335
3.86238098,0.00018159
3.88622284,0.00023902
3.91006470,0.00050234
3.93390656,0.00059207
3.95774841,0.01760400
3.98159027,0.07767215
4.00543213,0.10262270
4.02927399,0.04743800
4.05311584,0.00488710
4.07695770,0.00045621
4.10079956,0.00053015
4.12464142,0.00027963
4.14848328,0.00029023
4.17232513,0.00029607
4.19616699,0.00040570
4.22000885,0.00046037
4.24385071,0.00055011
4.26769257,0.00082545
4.29153442,0.00089234
4.31537628,0.00122923
4.33921814,0.00265735
4.36306000,0.00207390
4.38690186,0.00095222
4.41074371,0.00062453
4.43458557,0.00060336
4.45842743,0.00054823
4.48226929,0.00034005
4.50611115,0.00027323
4.52995300,0.00033090
4.55379486,0.00038982
4.57763672,0.00040663
4.60147858,0.00057870
4.62532043,0.00177648
4.64916229,0.00382950
4.67300415,0.00302416
4.69684601,0.00021985
4.72068787,0.00084039
4.74452972,0.00064088
4.76837158,0.00044566
4.79221344,0.00044594
4.81605530,0.00057192
4.83989716,0.00040967
4.86373901,0.00041973
4.88758087,0.00041325
4.91142273,0.00065096
4.93526459,0.00081060
4.95910645,0.01712424
4.98294830,0.06843104
5.00679016,0.08513544
5.03063202,0.03698225
5.05447388,0.00367389
5.07831573,0.00072155
5.10215759,0.00064999
5.12599945,0.00036674
5.14984131,0.00028244
5.17368317,0.00008452
5.19752502,0.00022359
5.22136688,0.00027647
5.24520874,0.00041934
5.26905060,0.00076803
5.29289246,0.00052983
5.31673431,0.00160601
5.34057617,0.00356561
5.36441803,0.00240926
5.38825989,0.00068960
5.41210175,0.00054561
5.43594360,0.00062997
5.45978546,0.00049242
5.48362732,0.00039928
5.50746918,0.00041129
5.53131104,0.00048878
5.55515289,0.00049397
5.57899475,0.00047881
5.60283661,0.00076957
5.62667847,0.00150536
5.65052032,0.00285644
5.67436218,0.00214036
5.69820404,0.00055580
5.72204590,0.00095738
5.74588776,0.00057452
5.76972961,0.00039372
5.79357147,0.00040399
5.81741333,0.00039919
5.84125519,0.00031580
5.86509705,0.00048139
5.88893890,0.00055213
5.91278076,0.00065557
5.93662262,0.00081905
5.96046448,0.01540499
5.98430634,0.05637648
6.00814819,0.06620577
6.03199005,0.02712541
6.05583191,0.00264561
6.07967377,0.00066774
6.10351563,0.00068426
6.12735748,0.00038828
6.15119934,0.00036120
6.17504120,0.00040141
6.19888306,0.00041556
6.22272491,0.00037246
6.24656677,0.00057737
6.27040863,0.00076192
6.29425049,0.00056744
6.31809235,0.00228248
6.34193420,0.00425326
6.36577606,0.00280868
6.38961792,0.00097445
6.41345978,0.00055646
6.43730164,0.00062884
6.46114349,0.00051879
6.48498535,0.00035823
6.50882721,0.00046505
6.53266907,0.00059117
6.55651093,0.00049910
6.58035278,0.00050540
6.60419464,0.00092125
6.62803650,0.00136544
6.65187836,0.00154407
6.67572021,0.00147788
6.69956207,0.00130699
6.72340393,0.00094366
6.74724579,0.00059814
6.77108765,0.00046867
6.79492950,0.00050378
6.81877136,0.00047685
6.84261322,0.00032760
6.86645508,0.00055440
6.89029694,0.00066764
6.91413879,0.00076723
6.93798065,0.00115663
6.96182251,0.01291548
6.98566437,0.04277261
7.00950623,0.04719957
7.03334808,0.01810759
7.05718994,0.00176982
7.08103180,0.00065521
7.10487366,0.00042522
7.12871552,0.00030676
7.15255737,0.00046256
7.17639923,0.00044182
7.20024109,0.00039185
7.22408295,0.00033369
7.24792480,0.00044036
7.27176666,0.00064207
7.29560852,0.00116760
7.31945038,0.00284791
7.34329224,0.00435152
7.36713409,0.00268242
7.39097595,0.00087227
7.41481781,0.00058678
7.43865967,0.00056271
7.46250153,0.00041192
7.48634338,0.00040991
7.51018524,0.00052782
7.53402710,0.00055646
7.55786896,0.00049040
7.58171082,0.00059528
7.60555267,0.00081012
7.62939453,0.00092993
7.65323639,0.00022835
7.67707825,0.00156278
7.70092010,0.00152096
7.72476196,0.00071767
7.74860382,0.00037733
7.77244568,0.00051115
7.79628754,0.00055834
7.82012939,0.00031000
7.84397125,0.00019871
7.86781311,0.00055639
7.89165497,0.00058854
7.91549683,0.00055721
7.93933868,0.00104946
7.96318054,0.00922095
7.98702240,0.02802270
8.01086426,0.02932687
8.03470612,0.01082966
8.05854797,0.00130936
8.08238983,0.00057453
8.10623169,0.00025597
8.13007355,0.00018723
8.15391541,0.00034015
8.17775726,0.00029671
8.20159912,0.00041565
8.22544098,0.00054908
8.24928284,0.00067942
8.27312469,0.00089289
8.29696655,0.00163289
8.32080841,0.00318187
8.34465027,0.00413108
8.36849213,0.00235322
8.39233398,0.00079640
8.41617584,0.00051456
8.44001770,0.00052484
8.46385956,0.00049481
8.48770142,0.00047489
8.51154327,0.00038867
8.53538513,0.00038354
8.55922699,0.00046129
8.58306885,0.00067211
8.60691071,0.00097208
8.63075256,0.00132108
8.65459442,0.00144854
8.67843628,0.00218574
8.70227814,0.00174408
8.72612000,0.00063717
8.74996185,0.00031899
8.77380371,0.00040528
8.79764557,0.00042235
8.82148743,0.00036397
8.84532928,0.00030535
8.86917114,0.00045109
8.89301300,0.00054066
8.91685486,0.00057399
8.94069672,0.00107029
8.96453857,0.00515353
8.98838043,0.01349697
9.01222229,0.01332737
9.03606415,0.00501067
9.05990601,0.00108823
9.08374786,0.00056100
9.10758972,0.00038286
9.13143158,0.00034669
9.15527344,0.00031256
9.17911530,0.00033781
9.20295715,0.00039095
9.22679901,0.00033305
9.25064087,0.00056612
9.27448273,0.00090529
9.29832458,0.00199808
9.32216644,0.00310475
9.34600830,0.00338108
9.36985016,0.00196393
9.39369202,0.00082934
9.41753387,0.00066831
9.44137573,0.00048038
9.46521759,0.00034304
9.48905945,0.00044491
9.51290131,0.00052370
9.53674316,0.00043359
9.56058502,0.00040485
9.58442688,0.00063430
9.60826874,0.00102238
9.63211060,0.00204077
9.65595245,0.00293247
9.67979431,0.00271485
9.70363617,0.00178808
9.72747803,0.00077904
9.75131989,0.00055631
9.77516174,0.00050513
9.79900360,0.00037692
9.82284546,0.00038624
9.84668732,0.00048521
9.87052917,0.00051269
9.89437103,0.00044879
9.91821289,0.00054199
9.94205475,0.00089877
9.96589661,0.00139614
9.98973846,0.00071526
10.01358032,0.00081539
10.03742218,0.00128334
10.06126404,0.00077526
10.08510590,0.00043752
10.10894775,0.00041815
10.13278961,0.00047535
10.15663147,0.00038564
10.18047333,0.00026741
10.20431519,0.00035022
10.22815704,0.00050046
10.25199890,0.00047099
10.27584076,0.00078109
10.29968262,0.00218201
10.32352448,0.00300038
10.34736633,0.00248943
10.37120819,0.00135962
10.39505005,0.00066909
10.41889191,0.00052405
10.44273376,0.00048066
10.46657562,0.00044765
10.49041748,0.00035568
10.51425934,0.00029301
10.53810120,0.00032005
10.56194305,0.00047845
10.58578491,0.00059241
10.60962677,0.00092131
10.63346863,0.00272868
10.65731049,0.00426536
10.68115234,0.00320046
10.70499420,0.00166200
10.72883606,0.00076003
10.75267792,0.00059118
10.77651978,0.00046865
10.80036163,0.00037169
10.82420349,0.00047291
10.84804535,0.00056658
10.87188721,0.00042365
10.89572906,0.00038049
10.91957092,0.00059511
10.94341278,0.00054598
10.96725464,0.00422764
10.99109650,0.01159105
11.01493835,0.01014108
11.03878021,0.00278796
11.06262207,0.00070024
11.08646393,0.00039841
11.11030579,0.00045091
11.13414764,0.00049533
11.15798950,0.00041953
11.18183136,0.00046640
11.20567322,0.00051017
11.22951508,0.00050265
11.25335693,0.00060587
11.27719879,0.00100565
11.30104065,0.00216611
11.32488251,0.00228948
11.34872437,0.00120642
11.37256622,0.00101891
11.39640808,0.00076377
11.42024994,0.00055926
11.44409180,0.00034955
11.46793365,0.00043744
11.49177551,0.00051801
11.51561737,0.00039752
11.53945923,0.00030135
11.56330109,0.00043759
11.58714294,0.00064360
11.61098480,0.00108903
11.63482666,0.00327101
11.65866852,0.00489698
11.68251038,0.00309595
11.70635223,0.00132216
11.73019409,0.00075003
11.75403595,0.00054267
11.77787781,0.00031361
11.80171967,0.00029377
11.82556152,0.00036738
11.84940338,0.00046146
11.87324524,0.00044177
11.89708710,0.00043884
11.92092896,0.00074651
11.94477081,0.00019919
11.96861267,0.00822622
11.99245453,0.02065957
12.01629639,0.01700955
12.04013824,0.00425326
12.06398010,0.00070983
12.08782196,0.00051583
12.11166382,0.00054929
12.13550568,0.00042648
12.15934753,0.00029315
12.18318939,0.00032154
12.20703125,0.00042487
12.23087311,0.00031517
12.25471497,0.00032771
12.27855682,0.00087110
12.30239868,0.00176636
12.32624054,0.00155050
12.35008240,0.00010041
12.37392426,0.00092892
12.39776611,0.00066162
12.42160797,0.00031487
12.44544983,0.00030193
12.46929169,0.00040509
12.49313354,0.00043855
12.51697540,0.00033364
12.54081726,0.00028471
12.56465912,0.00047240
12.58850098,0.00068433
12.61234283,0.00121397
12.63618469,0.00364248
12.66002655,0.00516200
12.68386841,0.00273139
12.70771027,0.00099011
12.73155212,0.00077861
12.75539398,0.00056195
12.77923584,0.00031291
12.80307770,0.00026985
12.82691956,0.00036813
12.85076141,0.00038675
12.87460327,0.00036976
12.89844513,0.00047368
12.92228699,0.00065693
12.94612885,0.00035844
12.96997070,0.01155093
12.99381256,0.02663461
13.01765442,0.02074642
13.04149628,0.00498807
13.06533813,0.00042284
13.08917999,0.00035002
13.11302185,0.00042566
13.13686371,0.00036116
13.16070557,0.00035364
13.18454742,0.00053081
13.20838928,0.00051850
13.23223114,0.00041279
13.25607300,0.00061850
13.27991486,0.00100695
13.30375671,0.00129558
13.32759857,0.00124656
13.35144043,0.00116461
13.37528229,0.00102768
13.39912415,0.00063798
13.42296600,0.00044745
13.44680786,0.00041622
13.47064972,0.00045150
13.49449158,0.00037412
13.51833344,0.00028076
13.54217529,0.00040535
13.56601715,0.00049604
13.58985901,0.00048229
13.61370087,0.00104002
13.63754272,0.00347292
13.66138458,0.00475315
13.68522644,0.00210097
13.70906830,0.00073752
13.73291016,0.00075553
13.75675201,0.00047501
13.78059387,0.00033703
13.80443573,0.00022839
13.82827759,0.00032418
13.85211945,0.00045130
