N,1,2,3,4,5,6,7,8,9,10,11,12
"I, мА","28,1","39,2","28,14","39,19","44,58","56,1","66,77","94,96","157,35","250,73",520,1460
"delta I, мА","-11,1","11,06","-11,05","-5,39","-11,52","-10,67","-28,19","-62,39","-93,38","-269,27",-940,
"dI, мА","0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,01"
"x, см","5,2","6,4","14,7","9,8","17,1",9,16,"16,4","11,4","14,4","12,9",
"dx, м","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1",
