N,1,2,3,4,5,6,7,8,9,10,11,12
"I, мА",0,"15,39","28,14","39,19","44,58","56,1","66,77","94,96","157,35","250,73",520,1460
"delta I, мА","-15,39","-12,75","-11,05","-5,39","-11,52","-10,67","-28,19","-62,39","-93,38","-269,27",-940,
"dI, мА","0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,01",
"x, см","5,2","6,4","15,5","12,5","18,3","9,2","16,6","16,6","11,5","14,6","13,2",
"dx, м","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1",
