N,1,2,3,4,5,6,7,8,9,10,11,12
"I, мА",1460,520,251,"157,4","95,1","66,8","56,1","44,5","39,2","28,1","15,4",0
"delta I, мА",940,269,"93,6","62,3","28,3","10,7","11,6","5,3","11,1","12,7","15,4",
"dI, мА","0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,01"
"x, см","12,5","9,3","7,7","5,4","3,6","1,5","1,3","0,8","1,4",2,"3,5",
"dx, м","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1",
