Частота,A * B
(kГц),(?)

0.00000000,0.00229553
0.02384186,0.00097111
0.04768372,0.00022481
0.07152557,0.00009072
0.09536743,0.00002453
0.11920929,0.00006397
0.14305115,0.00002419
0.16689301,0.00012107
0.19073486,0.00014730
0.21457672,0.00009860
0.23841858,0.00001707
0.26226044,0.00009098
0.28610229,0.00002804
0.30994415,0.00044758
0.33378601,0.00118067
0.35762787,0.00111177
0.38146973,0.00038179
0.40531158,0.00002419
0.42915344,0.00007198
0.45299530,0.00007304
0.47683716,0.00004180
0.50067902,0.00002129
0.52452087,0.00008180
0.54836273,0.00012741
0.57220459,0.00006522
0.59604645,0.00007738
0.61988831,0.00039055
0.64373016,0.00116359
0.66757202,0.00126188
0.69141388,0.00053783
0.71525574,0.00010633
0.73909760,0.00010388
0.76293945,0.00005511
0.78678131,0.00014693
0.81062317,0.00011675
0.83446503,0.00009487
0.85830688,0.00008339
0.88214874,0.00009675
0.90599060,0.00009073
0.92983246,0.00010566
0.95367432,0.00102050
0.97751617,0.00651575
1.00135803,0.01051360
1.02519989,0.00595882
1.04904175,0.00091109
1.07288361,0.00007377
1.09672546,0.00008423
1.12056732,0.00007016
1.14440918,0.00003143
1.16825104,0.00011977
1.19209290,0.00010990
1.21593475,0.00005237
1.23977661,0.00003798
1.26361847,0.00011004
1.28746033,0.00007301
1.31130219,0.00023015
1.33514404,0.00074373
1.35898590,0.00070709
1.38282776,0.00024176
1.40666962,0.00003308
1.43051147,0.00003577
1.45435333,0.00001015
1.47819519,0.00005507
1.50203705,0.00003116
1.52587891,0.00011289
1.54972076,0.00018242
1.57356262,0.00012042
1.59740448,0.00010942
1.62124634,0.00018147
1.64508820,0.00067515
1.66893005,0.00084339
1.69277191,0.00043489
1.71661377,0.00010223
1.74045563,0.00010731
1.76429749,0.00001821
1.78813934,0.00007725
1.81198120,0.00005926
1.83582306,0.00002351
1.85966492,0.00009167
1.88350677,0.00008495
1.90734863,0.00006383
1.93119049,0.00009556
1.95503235,0.00212669
1.97887421,0.01126166
2.00271606,0.01682157
2.02655792,0.00883760
2.05039978,0.00112907
2.07424164,0.00005047
2.09808350,0.00010385
2.12192535,0.00009560
2.14576721,0.00006269
2.16960907,0.00012066
2.19345093,0.00013390
2.21729279,0.00012417
2.24113464,0.00003579
2.26497650,0.00005197
2.28881836,0.00007495
2.31266022,0.00011479
2.33650208,0.00016580
2.36034393,0.00019527
2.38418579,0.00012143
2.40802765,0.00005165
2.43186951,0.00001068
2.45571136,0.00005682
2.47955322,0.00010973
2.50339508,0.00005571
2.52723694,0.00007058
2.55107880,0.00013099
2.57492065,0.00010283
2.59876251,0.00009983
2.62260437,0.00011773
2.64644623,0.00013709
2.67028809,0.00018471
2.69412994,0.00019424
2.71797180,0.00009034
2.74181366,0.00003533
2.76565552,0.00005907
2.78949738,0.00004341
2.81333923,0.00005453
2.83718109,0.00007997
2.86102295,0.00010497
2.88486481,0.00006948
2.90870667,0.00004089
2.93254852,0.00003890
2.95639038,0.00253957
2.98023224,0.01202910
3.00407410,0.01680068
3.02791595,0.00817207
3.05175781,0.00084029
3.07559967,0.00004440
3.09944153,0.00005558
3.12328339,0.00004138
3.14712524,0.00005713
