Частота,A * B
(kГц),(?)

0.00000000,0.02624396
0.02384186,0.01107750
0.04768372,0.00182273
0.07152557,0.00008267
0.09536743,0.00004992
0.11920929,0.00002656
0.14305115,0.00010897
0.16689301,0.00007805
0.19073486,0.00002407
0.21457672,0.00008230
0.23841858,0.00009621
0.26226044,0.00012024
0.28610229,0.00008534
0.30994415,0.00043348
0.33378601,0.00095536
0.35762787,0.00078335
0.38146973,0.00023650
0.40531158,0.00010457
0.42915344,0.00016931
0.45299530,0.00011325
0.47683716,0.00003729
0.50067902,0.00001548
0.52452087,0.00003857
0.54836273,0.00008507
0.57220459,0.00010056
0.59604645,0.00007304
0.61988831,0.00022243
0.64373016,0.00056308
0.66757202,0.00073835
0.69141388,0.00039867
0.71525574,0.00004685
0.73909760,0.00010163
0.76293945,0.00007667
0.78678131,0.00003873
0.81062317,0.00003162
0.83446503,0.00006248
0.85830688,0.00004667
0.88214874,0.00002430
0.90599060,0.00005349
0.92983246,0.00003747
0.95367432,0.00195745
0.97751617,0.01106656
1.00135803,0.01749261
1.02519989,0.00977579
1.04904175,0.00142385
1.07288361,0.00008344
1.09672546,0.00006228
1.12056732,0.00010207
1.14440918,0.00019703
1.16825104,0.00015195
1.19209290,0.00008787
1.21593475,0.00007000
1.23977661,0.00008526
1.26361847,0.00008144
1.28746033,0.00006083
1.31130219,0.00040458
1.33514404,0.00104561
1.35898590,0.00088449
1.38282776,0.00022142
1.40666962,0.00004033
1.43051147,0.00006101
1.45435333,0.00001046
1.47819519,0.00007151
1.50203705,0.00008400
1.52587891,0.00003033
1.54972076,0.00005258
1.57356262,0.00007186
1.59740448,0.00005108
1.62124634,0.00014764
1.64508820,0.00023697
1.66893005,0.00041712
1.69277191,0.00029767
1.71661377,0.00008332
1.74045563,0.00003242
1.76429749,0.00009275
1.78813934,0.00009168
1.81198120,0.00008437
1.83582306,0.00008970
1.85966492,0.00012388
1.88350677,0.00009996
1.90734863,0.00010692
1.93119049,0.00010977
1.95503235,0.00196010
1.97887421,0.01011276
2.00271606,0.01505000
2.02655792,0.00796646
2.05039978,0.00111778
2.07424164,0.00008421
2.09808350,0.00004955
2.12192535,0.00005833
2.14576721,0.00010778
2.16960907,0.00005039
2.19345093,0.00004620
2.21729279,0.00003299
2.24113464,0.00014671
2.26497650,0.00014819
2.28881836,0.00010175
2.31266022,0.00044632
2.33650208,0.00109900
2.36034393,0.00089953
2.38418579,0.00021344
2.40802765,0.00003444
2.43186951,0.00005225
2.45571136,0.00001385
2.47955322,0.00006633
2.50339508,0.00005339
2.52723694,0.00007619
2.55107880,0.00012456
2.57492065,0.00011321
2.59876251,0.00006829
2.62260437,0.00015499
2.64644623,0.00015509
2.67028809,0.00029276
2.69412994,0.00033313
2.71797180,0.00007667
2.74181366,0.00017317
2.76565552,0.00022725
2.78949738,0.00016722
2.81333923,0.00008626
2.83718109,0.00006391
2.86102295,0.00008202
2.88486481,0.00004709
2.90870667,0.00003761
2.93254852,0.00002392
2.95639038,0.00165239
2.98023224,0.00784072
3.00407410,0.01096156
3.02791595,0.00538427
3.05175781,0.00059355
3.07559967,0.00003264
3.09944153,0.00008314
3.12328339,0.00011064
3.14712524,0.00009405
